merchant,category,amt,lat,long,merch_lat,merch_long,hour,day,month,gender,cc_num,is_fraud
Kroger,fuel,869.4,37.5631,-81.2567,37.5424,-81.2534,9,9,7,F,6874353987589981,0
eBay,electronics,260.78,30.0349,-118.7271,30.0749,-118.76639999999999,16,22,8,F,1934578720325115,0
Kroger,fuel,275.05,31.7455,-108.6434,31.7071,-108.6808,1,15,6,F,7947141837528763,0
Shell,pharmacy,338.23,29.5241,-98.7549,29.5633,-98.79260000000001,23,6,5,M,8595135241759706,0
eBay,grocery,841.19,32.4929,-110.3119,32.4799,-110.32549999999999,21,1,11,M,8827147186223424,0
CVS,electronics,839.35,46.5068,-105.5695,46.5148,-105.5844,4,25,11,F,2187190932581488,0
eBay,clothing,321.04,32.0653,-109.4115,32.0647,-109.4246,3,1,12,M,2748669137336327,0
Target,electronics,294.78,44.1495,-69.7125,44.1113,-69.69300000000001,0,13,5,F,8281485291303612,0
Target,pharmacy,273.52,28.6425,-90.6471,28.674699999999998,-90.64179999999999,19,7,3,F,4387419456970060,0
Target,pharmacy,565.96,42.591,-83.4736,42.5811,-83.42500000000001,6,24,6,M,5198944910637984,0
7-Eleven,electronics,222.57,25.3327,-112.3831,25.368199999999998,-112.402,14,17,8,M,3796036586879335,1
Apple Store,fuel,48.12,48.2584,-95.7081,48.2364,-95.7412,15,17,6,F,7527003830949336,0
Apple Store,grocery,640.53,44.5088,-110.6811,44.5474,-110.7273,16,25,1,F,9117825564137664,0
Shell,clothing,813.96,32.2273,-111.6181,32.2147,-111.5927,4,13,2,F,1478277588031578,0
Apple Store,fuel,733.12,40.5648,-104.9506,40.5312,-104.9433,0,10,4,F,2165631259728538,0
Apple Store,pharmacy,251.29,40.8968,-112.4507,40.8618,-112.4601,16,17,11,F,2651971011892990,1
Apple Store,grocery,129.95,29.4716,-99.5903,29.4596,-99.5447,13,24,9,F,4186727437149367,0
Target,convenience,477.0,39.7432,-72.5725,39.7531,-72.61250000000001,16,10,1,F,2740535017965407,0
CVS,grocery,617.69,36.6135,-83.3247,36.6209,-83.2844,15,16,1,F,5274479838851151,1
eBay,convenience,663.26,34.2455,-115.3666,34.2037,-115.3369,18,14,4,M,7962395955223776,0
Best Buy,electronics,998.19,44.6351,-111.3112,44.600500000000004,-111.3026,2,14,10,M,2082668120416582,0
eBay,fuel,109.83,26.379,-70.7911,26.337200000000003,-70.7859,0,4,1,F,4578257972326736,0
Walmart,convenience,788.01,27.2463,-114.0542,27.2661,-114.04889999999999,17,11,10,M,2656886790296684,0
eBay,fuel,225.45,36.9581,-83.4111,36.979600000000005,-83.396,3,6,2,M,2357730220645308,1
Best Buy,convenience,362.09,47.6951,-110.4376,47.6746,-110.41,13,8,7,M,2375187472799957,1
7-Eleven,electronics,610.68,42.0337,-80.3568,41.9891,-80.3926,4,20,11,M,3853296742084186,0
Best Buy,electronics,886.38,45.7478,-98.8186,45.784,-98.8413,10,5,4,F,5920224320860353,0
7-Eleven,clothing,775.5,43.9882,-124.6878,43.9706,-124.6412,13,29,9,F,5611746749410338,0
Amazon,pharmacy,324.88,29.7898,-99.5037,29.7968,-99.45989999999999,10,27,4,F,2807732505458578,0
Amazon,fuel,88.06,27.3612,-90.5411,27.3841,-90.5901,5,14,7,F,9821572349355791,1
